date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:15	215517/215517	---MCZ	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2013:52:52%20GMT	https://kingsclub.in/	D:/club/kingsclub.in/index.html	(from )
11:23:17	123/123	---MCZ	200	added ('OK')	text/plain	date:Wed,%2008%20Nov%202023%2005:53:15%20GMT	https://kingsclub.in/robots.txt		(from )
11:23:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2008%20Nov%202023%2005:53:15%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/club/www.googletagmanager.com/gtm.05445.delayed	(from https://kingsclub.in/)
11:23:18	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:16%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/euixpr81/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/euixpr81/8hrt7.1.delayed	(from https://kingsclub.in/)
11:23:18	87499/87499	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/euixpr81/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/euixpr81/8hrt7.css	(from https://kingsclub.in/)
11:23:19	3304/3304	---M-Z	200	added ('OK')	x-font/woff	date:Sun,%2029%20Nov%202020%2008:33:22%20GMT	https://kingsclub.in/wp-content/themes/astra/assets/fonts/astra.woff	D:/club/kingsclub.in/wp-content/themes/astra/assets/fonts/astra.woff	(from https://kingsclub.in/)
11:23:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:17%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/etykd6a5/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/etykd6a5/8hrt7.css	(from https://kingsclub.in/)
11:23:19	70485/70485	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Nov%202023%2005:53:17%20GMT	https://kingsclub.in/feed/	D:/club/kingsclub.in/feed/index.html	(from https://kingsclub.in/)
11:23:20	3412/3412	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/etykd6a5/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/etykd6a5/8hrt7.css	(from https://kingsclub.in/)
11:23:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:17%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/1pa62gy3/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/1pa62gy3/8hrt7.css	(from https://kingsclub.in/)
11:23:20	752/752	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Nov%202023%2005:53:17%20GMT	https://kingsclub.in/comments/feed/	D:/club/kingsclub.in/comments/feed/index.html	(from https://kingsclub.in/)
11:23:20	94670/94670	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/1pa62gy3/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/1pa62gy3/8hrt7.css	(from https://kingsclub.in/)
11:23:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:18%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/dpya4ymz/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/dpya4ymz/8hrt7.css	(from https://kingsclub.in/)
11:23:21	2967/2967	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/dpya4ymz/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/dpya4ymz/8hrt7.css	(from https://kingsclub.in/)
11:23:21	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Nov%202023%2005:53:19%20GMT	http://kingsclub.in/wp-content/cache/wpfc-minified/jymmlvif/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/jymmlvif/8hrt7.css	(from https://kingsclub.in/)
11:23:21	168313/168313	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Feb%202023%2020:39:23%20GMT	https://kingsclub.in/wp-content/cache/wpfc-minified/jymmlvif/8hrt7.css	D:/club/kingsclub.in/wp-content/cache/wpfc-minified/jymmlvif/8hrt7.css	(from https://kingsclub.in/)
